pl_name,hostname,starsnum,planetsnum,discoverymethod,disc_year,disc_facility,orbital_period,pl_orbsmax,pl_radius,pl_mass,pl_orbeccen,pl_eqtemp,st_spectype,st_eff_temp,st_radius,st_mass,st_met,st_surface_gravity,sy_distance,sy_vmag,sy_kmag,sy_gaiamag
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,CoRoT,9.06005,0.0844,11.31,921.707,0.007,,G3 V,5650,0.91,0.98,0.02,4.4,1032.23,15.571,13.562,15.413
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,CoRoT,4.62941,0.0586,16.365,266.9772,0.02,,G2 IV,5700,2.15,1.25,0,3.85,2005.76,15.479,13.426,15.4655
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,CoRoT,9.20205,0.09,13.34,228.83,0,1074,,6190,1.17,1.16,0.05,4.41,726.412,13.652,12.288,13.5613
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,4.0378962,0.04947,15.558,148.42,0.09,1438,F9 V,6100,1.19,1,-0.25,4.19,882.472,14.043,12.546,13.9021
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,8.886593,0.0855,13.068,940.74,0.1,1017,F9 V,6090,1.02,1.05,-0.2,4.43,645.294,13.961,12.119,13.7459
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,CoRoT,0.85359163,0.017016,1.681,4.07661,0,1756,G9 V,5275,0.83,0.82,0.05,4.5,159.906,11.728,9.806,11.5239
CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,2009,CoRoT,3.698,0.046,2.83,8.4,0,,G9 V,5256,0.86,0.9,0.06,4.52,159.906,11.728,9.806,11.5239
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,6.21229,0.063,6.39,69.92,0,870,K1 V,5080,0.77,0.88,0.3,4.58,322.037,14.792,11.463,14.2195
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,95.272656,0.4021,11.949,266.9772,0.133,420,G3 V,5625,0.96,0.96,-0.01,4.54,412.98,13.637,11.688,13.5008
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,CoRoT,6.71837,0.071,6.389,47.6745,,938,G0 VI,5970,0.79,1.08,0,4.67,576.683,13.626,12.193,13.5867
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,5.75,12.4,3823.2733,0,,,3579,0.42,0.51,,4.8,30.5225,12.956,8.555,11.9752
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,Paranal Observatory,246.36,0.36,11.9,9057.77,0.345,,L1.5,,,0.07,,,20.77,,12.062,18.5577
DH Tau b,DH Tau,1,1,Imaging,2004,Subaru Telescope,,330,30.264,3496,,2200,M0.5,4371,0.27,0.33,,4,134.846,13.98,8.178001,12.4961
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,18.57,0.1462,5.29,24.27,0.083,877,F8 V,6196,1.26,1.21,,4.41,62.5388,7.98,6.69,7.85032
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,6.584,0.0733,3.06,9.6,0.057,1239,F8 V,6196,1.26,1.21,,4.41,62.5388,7.98,6.69,7.85032
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,2.882,0.0422,1.65,3.35,0.07,1632,F8 V,6196,1.26,1.21,,4.41,62.5388,7.98,6.69,7.85032
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,5.516,0.0651,1.86,4.13,0.07,1314,F8 V,6196,1.26,1.21,,4.41,62.5388,7.98,6.69,7.85032
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,Multiple Facilities,5.2072,0.0664,14.3,138.89171,0.078,1000,F5 V,6500,1.78,1.44,,4.1,137.94,8.57,7.437,8.45824
